order_id,order_date,ship_date,delivery_date,supplier_name,supplier_location,warehouse_location,product_category,product_id,quantity,unit_price,total_cost,shipping_cost,shipping_mode,delivery_status,delay_days,payment_method,customer_type,region,returned,supplier_city,supplier_country,returned_flag,payment_group,customer_segment,is_b2b
ORD-19694,2023-05-27,2023-05-30,2023-06-07,Industrial Supplies Ltd,"New York, USA",WH-ALPHA,Electronics,PROD-913,94.0,438.92,41258.48,24.43,Road,Delayed,8,UPI,Corporate,North,Yes,New York,USA,1,Online,B2B,1
ORD-28320,2023-09-20,2023-09-22,2023-10-08,Global Tech,"Shanghai, CN",WH-BETA,Electronics,PROD-427,54.0,100.7,5437.8,57.64,Sea,Cancelled,16,COD,Wholesale,West,No,Shanghai,CN,0,Offline,B2B,1
ORD-13847,2022-12-17,2022-12-19,2022-12-28,Industrial Supplies Ltd Inc,"Berlin, Germany",MAIN_HUB,Clothing,PROD-939,95.0,197.71,18782.45,50.35,Rail,Cancelled,9,UPI,Retail,West,No,Berlin,Germany,0,Online,B2C,0
ORD-29360,2022-08-24,2022-08-26,2022-09-10,Global Tech,"Shanghai, CN",WH-ALPHA,Industrial Tools,PROD-649,95.0,465.05,44179.75,82.19,Sea,Cancelled,15,Card,Wholesale,North,Yes,Shanghai,CN,1,Online,B2B,1
ORD-74722,2023-03-23,2023-03-24,2023-04-12,Industrial Supplies Ltd Inc,"Paris, France",MAIN_HUB,Electronics,PROD-938,28.0,392.58,10992.24,99.29,Road,Cancelled,19,Card,Corporate,North,No,Paris,France,0,Online,B2B,1
ORD-86271,2023-05-12,2023-05-14,2023-05-23,INDUSTRIAL SUPPLIES LTD,"New York, USA",WH-ALPHA,Office Supplies,PROD-322,0.0,341.44,0.0,87.7,Air,Cancelled,9,Card,Retail,East,No,New York,USA,0,Online,B2C,0
ORD-75230,2022-04-06,2022-04-08,2022-04-17,GLOBAL TECH,"Berlin, Germany",WH-ALPHA,Industrial Tools,PROD-892,30.0,205.35,6160.5,14.42,Rail,On-Time,9,COD,Retail,South,Yes,Berlin,Germany,1,Offline,B2C,0
ORD-25213,2023-07-31,2023-08-05,2023-08-08,Apex Logistics,"Shanghai, CN",WH-ALPHA,Furniture,PROD-278,20.0,354.12,7082.4,51.36,Sea,On-Time,3,Net Banking,Wholesale,W,Yes,Shanghai,CN,1,Online,B2B,1
ORD-35166,2023-03-03,2023-03-04,2023-03-06,APEX LOGISTICS,"London, UK",WH-GAMMA,Furniture,PROD-834,17.0,274.44,4665.48,81.63,Rail,On-Time,2,UPI,Corporate,East,Yes,London,UK,1,Online,B2B,1
ORD-56254,2022-10-19,2022-10-20,2022-10-26,industrial supplies ltd,"Paris, France",WH-GAMMA,Furniture,PROD-253,96.0,415.59,39896.64,26.88,Rail,Delayed,6,Net Banking,Corporate,South,No,Paris,France,0,Online,B2B,1
ORD-30369,2022-01-30,2022-02-03,2022-02-10,ABC Corp Inc,"New York, USA",WH-GAMMA,Office Supplies,PROD-333,61.0,15.62,952.82,39.94,Rail,On-Time,7,Card,Wholesale,East,No,New York,USA,0,Online,B2B,1
ORD-27961,2023-09-01,2023-09-02,2023-09-18,INDUSTRIAL SUPPLIES LTD,Mumbai,WH-ALPHA,Electronics,PROD-270,84.0,65.98,5542.320000000001,79.18,Air,On-Time,16,Card,Wholesale,South,No,Mumbai,India,0,Online,B2B,1
ORD-83664,2022-11-29,2022-11-30,2022-12-12,GLOBAL TECH,"Berlin, Germany",WH-BETA,Clothing,PROD-606,13.0,165.51,2151.63,17.45,Air,Delayed,12,UPI,Corporate,West,No,Berlin,Germany,0,Online,B2B,1
ORD-72814,2022-02-26,2022-02-27,2022-03-06,ABC Corp,Mumbai,WH-BETA,Clothing,PROD-247,83.0,15.89,1318.87,92.39,Sea,Cancelled,7,Card,Corporate,South,Yes,Mumbai,India,1,Online,B2B,1
ORD-68008,2022-12-17,2022-12-19,2022-12-21,Apex Logistics,"Shanghai, CN",WH-GAMMA,Clothing,PROD-330,93.0,343.46,31941.78,40.5,Air,Delayed,2,Net Banking,Retail,West,Yes,Shanghai,CN,1,Online,B2C,0
ORD-81511,2023-02-02,2023-02-04,2023-02-13,industrial supplies ltd,"Paris, France",WH-ALPHA,Clothing,PROD-412,54.0,29.67,1602.18,17.45,Rail,Cancelled,9,UPI,Retail,East,No,Paris,France,0,Online,B2C,0
