Order_ID,Order_Date,Ship_Date,Delivery_Date,Supplier_Name,Supplier_Location,Warehouse_Location,Product_Category,Product_ID,Quantity,Unit_Price,Total_Cost,Shipping_Cost,Shipping_Mode,Delivery_Status,Delay_Days,Payment_Method,Customer_Type,Region,Returned
ORD-19694,2023/05/27,2023-05-30,2023-06-07,Industrial Supplies Ltd,"New York, USA",WH-Alpha,Electronics,PROD-913,94,438.92,41258.48,24.43,Road,Delayed,,UPI,Corporate,North,Yes
ORD-28320,2023/09/20,2023-09-22,2023-10-08,Global Tech,"Shanghai, CN",WH-Beta,Electronics,PROD-427,54,100.7,5437.8,57.64,Sea,C@nc3ll3d,,Cash,Wholesale,West,
ORD-13847,,,,Industrial Supplies Ltd Inc,DE,Main_Hub,Clothing,PROD-939,95,197.71,18782.45,50.35,Rail,Cancelled,-1.0,UPI,Retail,West,No
ORD-29360,08/24/2022,,2022-09-10,Global Tech,,WH-Alpha,Industrial Tools,PROD-649,95,465.05,44179.75,82.19,Sea,Cancelled,10.0,Credit Card,Wholesale,North,Yes
ORD-74722,23-03-2023,2023-03-24,2023-04-12,Industrial Supplies Ltd Inc,FRANCE,Main_Hub,Electronics,PROD-938,28,392.58,10992.24,99.29,Road,Cancelled,15.0,Credit Card,Corporate,North,No
ORD-86271,,2023-05-14,,INDUSTRIAL SUPPLIES LTD,"New York, USA",WH-Alpha,Office Supplies,PROD-322,0,341.44,0.0,87.7,Air,Cancelled,,Deb_Card,Retail,East,
ORD-75230,04/06/2022,2022-04-08,2022-04-17,GLOBAL TECH,DE,WH-Alpha,Industrial Tools,PROD-892,30,205.35,6160.5,14.42,Rail,On-Time,12.0,Cash,Retail,South,Yes
ORD-25213,07/31/2023,2023-08-05,2023-08-08,Apex Logistics,"Shanghai, CN",WH-Alpha,Furniture,PROD-278,20,354.12,7082.4,,Sea,On-Time,15.0,Net Banking,Wholesale,W,Yes
ORD-35166,03-03-2023,2023-03-04,2023-03-06,APEX LOGISTICS,"London, UK",WH-Gamma,Furniture,PROD-834,17,274.44,4665.48,81.63,Rail,On-Time,14.0,UPI,Corporate,East,Yes
ORD-56254,19-10-2022,2022-10-20,2022-10-26,industrial supplies ltd,FRANCE,WH-Gamma,Furniture,PROD-253,96,415.59,39896.64,26.88,Rail,Delayed,14.0,Net Banking,Corporate,South,No
ORD-30369,30-01-2022,2022-02-03,2022-02-10,ABC Corp Inc,"New York, USA",WH-Gamma,Office Supplies,PROD-333,61,15.62,952.8199999999999,39.94,Rail,On-Time,4.0,Deb_Card,Wholesale,East,
ORD-27961,01-09-2023,2023-08-30,2023-09-18,INDUSTRIAL SUPPLIES LTD,Mumbai,WH-Alpha,Electronics,PROD-270,84,65.98,5542.320000000001,79.18,Air,On-Time,15.0,Deb_Card,Wholesale,South,
ORD-83664,11/29/2022,2022-11-27,2022-12-12,GLOBAL TECH,DE,WH-Beta,Clothing,PROD-606,13,165.51,2151.63,17.45,Air,Delayed,10.0,UPI,Corporate,West,
